gameName,from,bestPrice,stock,price_jogonamesa,stock_jogonamesa,price_kultgames,stock_kultgames,price_gameplay,stock_gameplay,price_juegosdelamesaredonda,stock_juegosdelamesaredonda,price_diver,stock_diver,price_arenaporto,stock_arenaporto,price_dracotienda,stock_dracotienda,price_amazon,stock_amazon,price_planetongames,stock_planetongames,price_gglounge,stock_gglounge,price_versusgamecenter,stock_versusgamecenter,price_devir,stock_devir,price_ajogar,stock_ajogar,price_saltadacaixa,stock_saltadacaixa,price_jubilantsunday,stock_jubilantsunday,price_mathom,stock_mathom,price_padis,stock_padis,price_masqueoca,stock_masqueoca,price_jugamosotra,stock_jugamosotra,price_empiregames,stock_empiregames,price_philibertnet,stock_philibertnet
Arboretum,jugamosotra.com,16.95,en stock recbelo en 2448 horas,,,18.95,deliveryin 1 to 2 weeks time,24.99,emstock,17.95,enreposicin,,,,,20.00, fuera de stock,,,17.96,nodisponible,,,,,,,21.90,,24.95,em stock,17.79,esgotado,17.96,thisproduct is no longer in stock,,,,,16.95,en stock recbelo en 2448 horas,,,22.95,this product is no longer in stock
Arboretum Deluxe,jugamosotra.com,34.95,en stock recbelo en 2448 horas,,,,,35.00,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.95,en stock recbelo en 2448 horas,,,,
Broom Service,www.amazon.es,20.86,enstock,,,,,38.50,esgotado,,,,,,,,,20.86,enstock,32.36,nodisponible,,,,,,,,,,,,,,,,,,,,,,,,
Bus,jubilantsunday.com,73.87,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.87,esgotado,,,,,,,,,,,81.95,this product is no longer in stock
Cacao,www.saltadacaixa.pt,20.00,em stock,,,,,24.99,restock,24.95,enreposicin,,,,,24.30, disponible,26.46,en stock ,24.30,nodisponible,,,,,24.99,       avisame    ,,,20.00,em stock,,,,instock,,,24,3,Unknown,,,,,29.95,available
Cartographers,jubilantsunday.com,20.86,em stock,,,,,27.95,emstock,,,26.99,esgotado,,,25.99, fuera de stock,24.62,enstock,,,,,,,,,27.95,,25.95,esgotado,20.86,em stock,,,,,,,,,,,25.95,this product is no longer in stock
Chocolate Factory,juegosdelamesaredonda.com,51.26,enreposicin,,,,,54.95,restock,51.26,enreposicin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.95,this product is no longer in stock
Coffee Traders,jubilantsunday.com,93.19,em stock,,,,,,,94.45,enreposicin,,,,,104.95, fuera de stock,,,,,,,,,,,,,,,93.19,em stock,,,,,,,,,,,139.50,this product is no longer in stock
Concordia PT,mathom.es,44.99,,,,,,54.99,emstock,49.45,enstock,,,,,49.50, disponible,50.77,enstock,49.50,nodisponible,,,,,,,,,,,,,44.99,,,,49,5,Unknown,49.45,en stock recbelo en 2448 horas,,,,
Concordia EN,jubilantsunday.com,38.60,esgotado,,,,,44.95,ltimaunidade em stock,,,,,,,,,,,,,,,43.90,          em stock          ,,,39.95,,,,38.60,esgotado,,,,,,,,,,,39.95,disponible
Coup,jubilantsunday.com,13.16,esgotado,,,17.95,deliveryin 1 to 2 weeks time,18.99,emstock,,,22.99,encomendaao fornecedor,,,,,,,15.29,nodisponible,,,,,,,,,,,13.16,esgotado,,,,,,,,,,,17.95,this product is no longer in stock
Creature Comforts,versusgamecenter.pt,52.90,,,,,,54.50,restock,,,,,,,,,,,,,,,52.90,,,,,,55.95,em stock,,,,,,,,,,,,,54.50,available
Cryptid,juegosdelamesaredonda.com,33.95,enreposicin,,,42.95,deliveryin 1 to 2 weeks time,39.95,restock,33.95,enreposicin,39.59,encomendaao fornecedor,,,,,40.27,envoen 2 a 3 das,,,,,34.90,          em stock          ,,,,,41.95,em stock,,,34.15,thisproduct is no longer in stock,,,,,,,,,35.95,this product is no longer in stock
Dune: Imperium,dracotienda.com,49.99, fuera de stock,,,75.95,instock,59.99,emstock,53.05,enreposicin,71.99,disponivel,,,49.99, fuera de stock,73.19,sloquedan 1 en stock,54.99,productoen stock,,,66.90,          em stock          ,,,,,59.00,em stock,57.80,temporariamente esgotado restock em 35 semanas,,,,,,,,,,,59.95,this product is no longer in stock
Earth,www.saltadacaixa.pt,56.95,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,56.95,esgotado,,,,,,,,,,,,,,
Elysium,www.planetongames.com,39.99,nodisponible,,,56.95,deliveryin 1 to 2 weeks time,,,40.50,enreposicin,,,,,,,,,39.99,nodisponible,,,,,,,,,,,,,,,,,,,,,,,,
Endless Winter: Paleoamericans,mathom.es,52.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.80,,,,,,,,,,62.50,this product is no longer in stock
Flamme Rouge EN,juegosdelamesaredonda.com,36.85,enstock,,,,,40.99,restock,36.85,enstock,,,,,,,38.45,sloquedan 3 en stock,,,,,,,,,,,41.95,em stock,,,,,,,,,,,,,39.95,this product is no longer in stock
Flamme Rouge ES,www.planetongames.com,31.50,nodisponible,,,,,39.95,restock,40.45,enreposicin,,,,,40.50, fuera de stock,,,31.50,nodisponible,,,,,,,,,,,,,,,,,40,49,Unknown,40.45,en stock recbelo en 2448 horas,,,,
Flamme Rouge DE,dracotienda.com,27.95, ltimas unidades en stock,,,,,,,,,,,,,27.95, ltimas unidades en stock,,,,,,,,,,,,,,,,,,,,,,,,,,,39.90,prcommande
For Sale PT,gameplay.pt,14.90,esgotado,,,,,14.90,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Sale Other,gameplay.pt,14.99,restock,,,,,14.99,restock,,,,,,,,,,,20.46,nodisponible,,,,,,,,,,,,,,,,,,,,,,,14.00,available
Foundations of Rome,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grizzled,jubilantsunday.com,25.57,em stock,,,,,33.95,ltimaunidade em stock,,,,,,,,,34.55,sloquedan 3 en stock,,,,,31.90,          em stock          ,,,,,,,25.57,em stock,,,,,,,,,,,26.00,this product is no longer in stock
Isle of Skye: From Chieftain to King,juegosdelamesaredonda.com,27.00,enreposicin,,,,,39.95,emstock,27.00,enreposicin,31.49,disponvel,,,,,43.43,enstock,,,,,,,,,,,,,,,,,,,,,,,,,32.95,this product is no longer in stock
Isle of Skye: From Chieftain to King FR,www.philibertnet.com,29.90,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.90,available
Just One,jubilantsunday.com,20.09,em stock,,,,,24.95,emstock,,,24.99,encomendaao fornecedor,,,,,,,,,,,,,,,21.90,,21.95,esgotado,20.09,em stock,,,,,,,,,,,21.95,this product is no longer in stock
Kluster,www.philibertnet.com,17.90,available,,,,,18.99,emstock,24.95,enstock,29.99,disponvel,,,22.46, fuera de stock,26.64,enstock,,,,,,,,,,,,,,,,,,,,,22.39,agotado consultar disponibilidad,,,17.90,available
Life Siphon,www.philibertnet.com,50.95,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.95,available
Long Shot: The Dice Game,dracotienda.com,29.99, disponible,,,,,34.99,emstock,,,,,,,29.99, disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,37.95,this product is no longer in stock
Marvel Dice Throne,jubilantsunday.com,45.25,em stock,,,,,59.95,emstock,56.65,enreposicin,,,,,,,,,,,,,55.90,,,,,,,,45.25,em stock,,,,,,,,,,,57.50,this product is no longer in stock
Marvel Remix,versusgamecenter.pt,22.90,          em stock          ,,,28.95,instock,24.99,emstock,,,24.99,disponvel,,,,,,,,,,,22.90,          em stock          ,,,,,,,,,,,,,,,,,,,29.95,this product is no longer in stock
Maskmen,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOB: Big Apple,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Expedition,www.philibertnet.com,25.00,available,,,,,,,,,,,,,,,26.25,sloquedan 4 en stock,,,,,,,,,,,,,,,,,,,,,,,,,25.00,available
No Thanks!,gameplay.pt,14.99,emstock,,,,,14.99,emstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paladins of the West Kingdom,www.amazon.es,57.18,sloquedan 1 en stock,,,,,62.95,ltimaunidade em stock,,,,,,,,,57.18,sloquedan 1 en stock,,,,,,,,,,,67.95,em stock,,,,,,,,,,,,,62.95,this product is no longer in stock
Paleo PT,versusgamecenter.pt,44.90,          em stock          ,,,,,44.99,ltimaunidade em stock,,,,,,,,,,,,,,,44.90,          em stock          ,44.99,adicionarao carrinho,,,44.95,em stock,,,,,,,,,,,,,,
Paleo EN,www.philibertnet.com,42.95,this product is no longer in stock,,,,,58.49,emstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.95,this product is no longer in stock
Perudo,www.planetongames.com,17.96,nodisponible,,,,,,,19.95,enreposicin,,,,,,,21.46,enstock,17.96,nodisponible,,,,,,,,,,,,,,,,,,,,,,,21.95,disponible
Point Salad EN,jubilantsunday.com,17.79,em stock,,,,,27.95,ltimaunidade em stock,,,,,,,,,,,,,,,,,,,,,,,17.79,em stock,,,,,,,,,,,,
Point Salad PT,gameplay.pt,9.99,emstock,,,,,9.99,emstock,,,,,,,,,,,,,,,,,,,11.99,,,,,,,,,,,,,,,,,
Red Rising,gameplay.pt,39.95,ltimaunidade em stock,,,,,39.95,ltimaunidade em stock,,,,,,,,,,,,,,,,,,,,,39.95,em stock,,,,,,,,,,,,,39.95,available
Saint Petersburg (Second Edition),www.masqueoca.com,33,99,Unknown,,,,,,,40.50,enreposicin,,,,,,,,,53.96,nodisponible,,,,,,,,,,,,,,,,,33,99,Unknown,,,,,,
So Clover!,gameplay.pt,22.99,restock,,,,,22.99,restock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90,this product is no longer in stock
The Banishing (20$),,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Colonists,jugamosotra.com,59.95,en stock recbelo en 2448 horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,99,Unknown,59.95,en stock recbelo en 2448 horas,,,,
The Isle of Cats,dracotienda.com,46.95, fuera de stock,,,,,57.95,restock,,,,,,,46.95, fuera de stock,,,,,,,53.90,          em stock          ,,,49.90,,,,,,,,,,,,,,,,61.95,this product is no longer in stock
The One Hundred Torii,mathom.es,20.00,thisproduct is no longer in stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,thisproduct is no longer in stock,,,,,,,,,45.95,this product is no longer in stock
Push It (15$),,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarto,juegosdelamesaredonda.com,29.66,enstock,,,,,32.95,,29.66,enstock,,,,,29.25, disponible,33.86,enstock,,,,,,,,,,,,,,,29.66,,,,,,29.65,en stock recbelo en 2448 horas,,,36.00,disponible
The Red Cathedral,www.philibertnet.com,24.95,available,,,,,29.99,emstock,26.95,enstock,,,,,,,29.72,sloquedan 1 en stock,,,,,26.90,          em stock          ,29.99,adicionarao carrinho,26.99,,29.95,em stock,29.74,em stock,27.00,,30.49,,26,99,Unknown,26.95,en stock recbelo en 2448 horas,,,24.95,available
Top Ten +18,www.philibertnet.com,19.95,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95,available
Trailblazers,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdant,gameplay.pt,42.99,emstock,,,,,42.99,emstock,,,,,,,,,,,,,,,,,,,,,42.00,em stock,,,,,,,,,,,,,42.90,available
Villagers,www.philibertnet.com,26.90,this product is no longer in stock,,,29.95,deliveryin 1 to 2 weeks time,29.95,restock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.90,this product is no longer in stock
