gameName,from,bestPrice,stock,price_jogonamesa,stock_jogonamesa,price_kultgames,stock_kultgames,price_gameplay,stock_gameplay,price_juegosdelamesaredonda,stock_juegosdelamesaredonda,price_diver,stock_diver,price_arenaporto,stock_arenaporto,price_dracotienda,stock_dracotienda,price_amazon,stock_amazon,price_planetongames,stock_planetongames,price_gglounge,stock_gglounge,price_versusgamecenter,stock_versusgamecenter,price_devir,stock_devir,price_ajogar,stock_ajogar,price_saltadacaixa,stock_saltadacaixa,price_jubilantsunday,stock_jubilantsunday
Steam Park,dracotienda.com,39.95,  fuera de stock,,,,,,,,,,,,,39.95,  fuera de stock,,,,,,,,,,,,,,,,
Stone Age,dracotienda.com,40.50,  disponible,42.00,imediata,59.95,delivery in 1 to 2 weeks time,44.99,restock,,,40.49,esgotado,,,40.50,  disponible,45.00,em stock,,,,,,,,available,,,44.95, em stock  ,,
Strike,jogonamesa.pt,16.16,esgotado,16.16,esgotado,,,25.46,em stock,,,,,,,,,,,,,,,,,,,19.90,esgotado,,,,
Thanos Rising: Avengers Infinity War,jubilantsunday.com,44.64, em stock,,,,,,,,,,,,,49.95,  fuera de stock,51.15,em stock,,,,,,,,,,,,,44.64, em stock
The Mind,jogonamesa.pt,8.12,esgotado,8.12,esgotado,,,9.95,em stock,,,,,,,,,,,,,,,,,,,11.99,adicionar ao carrinho,13.95,esgotado,,
The Quacks of Quedlinburg: The Herb Witches,jogonamesa.pt,21.03,em 30 dias,21.03,em 30 dias,,,29.99,em stock,,,,,,,,,,,,,24.90,out of stock,,,,,,,,,,
The Quest for El Dorado,jogonamesa.pt,31.00,em 9 dias,31.00,em 9 dias,,,42.99,restock,,,,,,,,,34.99,em stock,,,,,,,,,,,,,,
Ticket to Ride: Europe,www.ajogar.com,44.95,adicionar ao carrinho,46.00,2 semanas,59.95,in stock,49.95,em stock,,,,,59.99, esgotado,,,,,,,46.90,only 1 left in stock,,,,,44.95,adicionar ao carrinho,,,,
Tokaido,jogonamesa.pt,31.71,esgotado,31.71,esgotado,,,42.99,em stock,,,,,47.49, esgotado,34.99,  ltimas unidades en stock,34.99,em stock,,,,,,,,,,,,,,
Viscounts of the West Kingdom,jogonamesa.pt,44.85,em 22 dias,44.85,em 22 dias,,,60.95,em stock,,,,,59.99, esgotado,49.99,  fuera de stock,,,,,,,,,,,,,55.95, em stock,,
Warsaw: City of Ruins,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIKE TO HAVE,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhambra EN,arenaporto.com,29.99, esgotado,,,,,39.95,esgotado,31.46,en stock,,,29.99, esgotado,31.50,  disponible,,,31.50,producto en stock,,,,,,,,,,,,
Alhambra PT,gglounge.pt,31.90,out of stock,,,,,34.99,ltima unidade em stock,,,,,,,,,,,,,31.90,out of stock,,,,available,,,,,,
Altiplano,gglounge.pt,30.90,only 1 left in stock,35.16,esgotado,,,49.90,restock,51.26,en reposicin,,,,,44.96,  fuera de stock,47.45,em stock,44.96,no disponible,30.90,only 1 left in stock,,,,,,,,,,
Alhambra Big Box,www.planetongames.com,71.96,no disponible,,,,,,,,,,,,,,,,,71.96,no disponible,,,,,,,,,,,,
Arboretum,dracotienda.com,17.95,  disponible,22.77,em 30 dias,18.95,delivery in 1 to 2 weeks time,24.99,em stock,17.95,en reposicin,,,24.99,,17.95,  disponible,26.24,em stock,17.96,no disponible,21.90,only 1 left in stock,,,,,,,,,,
Bandida,juegosdelamesaredonda.com,11.25,en stock,,,,,15.99,em stock,11.25,en stock,,,,,12.99,  disponible,,,,,,,,,,,,,,,,
Broom Service,dracotienda.com,11.95,  disponible,31.36,em 9 dias,,,38.50,esgotado,12.15,en reposicin,,,,,11.95,  disponible,,,,,,,,,,,,,,,,
Bus,jubilantsunday.com,73.87, esgotado,76.09,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,73.87, esgotado
Cacao,jogonamesa.pt,23.53,em 9 dias,23.53,em 9 dias,,,24.99,em stock,25.00,en reposicin,,,,,24.30,  ltimas unidades en stock,26.03,em stock,,,,,,,,available,,,24.95, em stock,,
Cartographers,jubilantsunday.com,20.86, em stock,25.85,esgotado,,,29.95,em stock,,,26.99,esgotado,,,25.99,  fuera de stock,,,,,24.90,out of stock,,,,,27.95,esgotado,25.95,esgotado,20.86, em stock
Chinatown,www.diver.pt,49.49,encomenda ao fornecedor,51.98,esgotado,,,59.99,em stock,,,49.49,encomenda ao fornecedor,,,,,,,,,53.90,out of stock,,,,,,,,,,
Chocolate Factory,juegosdelamesaredonda.com,51.26,en reposicin,57.09,esgotado,,,54.95,restock,51.26,en reposicin,,,55.99, esgotado,,,,,,,,,,,,,,,,,,
Coffee Traders,jubilantsunday.com,93.19, em stock,102.33,esgotado,,,,,94.45,en reposicin,,,,,104.95,  fuera de stock,,,,,,,,,,,,,,,93.19, em stock
Concordia EN,jogonamesa.pt,35.96,em 9 dias,35.96,em 9 dias,,,44.95,em stock,,,,,49.99, esgotado,39.95,  ltimas unidades en stock,,,,,42.90,only 2 left in stock,,,,,,,,,38.60, esgotado
Concordia PT,gameplay.pt,54.99,em stock,,,,,54.99,em stock,,,,,,,,,,,,,,,,,,,,,,,,
Coup,jubilantsunday.com,13.16, em stock,16.75,esgotado,17.95,in stock,19.95,em stock,,,22.99,encomenda ao fornecedor,19.99, esgotado,,,,,,,14.90,out of stock,,,,,,,,,13.16, em stock
Dice Throne: Season One ReRolled - Barbarian v. Moon Elf,jogonamesa.pt,22.87,esgotado,22.87,esgotado,,,36.99,restock,24.25,en reposicin,,,,,,,,,,,,,,,,,,,,,24.19, em stock
Elysium,juegosdelamesaredonda.com,40.50,en reposicin,,,56.95,delivery in 1 to 2 weeks time,,,40.50,en reposicin,,,63.95, esgotado,,,,,,,,,,,,,,,,,,
Endless Winter: Paleoamericans,jogonamesa.pt,60.12,esgotado,60.12,esgotado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasy Realms,gglounge.pt,19.90,in stock,22.00,imediata,22.50,delivery in 1 to 2 weeks time,26.99,em stock,,,,,21.99, esgotado,,,,,,,19.90,in stock,,,,,,,,,,
Flamme Rouge,dracotienda.com,27.95,  fuera de stock,33.92,em 30 dias,,,40.99,ltima unidade em stock,35.55,en reposicin,,,39.99, esgotado,27.95,  fuera de stock,,,,,,,,,,,,,,,,
Isle of Skye: From Chieftain to King,juegosdelamesaredonda.com,27.00,en reposicin,36.12,em 30 dias,,,38.99,em stock,27.00,en reposicin,31.49,disponvel,,,,,32.34,apenas 5 em stock mais a caminho,,,,,,,,,,,,,,
Long Shot: The Dice Game,jogonamesa.pt,29.05,esgotado,29.05,esgotado,,,,,,,,,,,,,,,,,29.90,no longer available for preordering,,,,,,,,,,
Maskmen,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Expedition,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
